               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12362,            0.034771,                   0,               0.002,            0.031915,            0.002155,          0.00035354,            0.079411,            0.023523,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.10626,            0.032904,                   0,              0.0025,             0.06383,            0.001975,          0.00057325,            0.063678,            0.021538,                   0,            0.082862,           0.0018624,           0.0018624
                   2,            0.095004,            0.036327,                   0,           0.0067264,             0.11702,           0.0080803,           0.0027461,            0.054582,            0.018992,                   0,            0.073785,           0.0027852,           0.0027852
                   3,            0.087027,            0.033796,                   0,             0.18085,             0.10638,            0.064248,            0.021176,            0.048063,            0.017113,                   0,            0.064668,           0.0036683,           0.0036683
                   4,            0.084975,            0.034768,                   0,             0.31328,             0.34043,             0.20837,             0.06302,            0.044597,            0.016069,                   0,            0.055512,           0.0045119,           0.0045119
                   5,            0.075931,            0.033462,                   0,             0.35507,             0.42758,             0.29904,            0.089547,            0.043018,            0.015062,                   0,            0.046316,           0.0053159,           0.0053159
                   6,            0.071768,            0.034006,                   0,             0.24146,             0.32512,             0.18852,            0.057082,            0.050344,            0.013656,                   0,             0.03708,           0.0060803,           0.0060803
                   7,            0.071011,            0.032569,                   0,             0.27456,             0.55161,             0.32369,             0.11091,            0.041128,            0.014087,                   0,            0.027805,           0.0068051,           0.0068051
                   8,            0.067402,            0.035205,                   0,             0.25582,             0.51064,             0.25367,            0.084376,            0.041491,            0.015094,                   0,             0.01849,           0.0074902,           0.0074902
                   9,            0.066727,             0.03386,                   0,             0.31594,             0.29787,             0.19237,            0.047176,            0.048104,             0.01574,                   0,           0.0091358,           0.0081358,           0.0081358
                  10,            0.069838,            0.032238,                   0,             0.27496,             0.29787,             0.18204,            0.071925,            0.058366,            0.014344,                   0,             0.00802,             0.00802,             0.00802
                  11,            0.065515,            0.029787,                   0,             0.31666,             0.30851,               0.238,             0.10879,            0.048697,            0.015227,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.060814,            0.032365,                   0,             0.37336,             0.38298,             0.29854,             0.11615,            0.046134,            0.013855,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.061471,            0.031416,                   0,             0.50163,             0.72814,             0.50295,             0.20274,            0.035294,            0.011013,                   0,            0.007624,            0.007624,            0.007624
